Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio
2020,Data Scientist,MI,FT,6352272,DE,DE,L,0
2020,Machine Learning Scientist,SE,FT,20688070,JP,JP,S,0
2020,Big Data Engineer,SE,FT,8674985,GB,GB,M,50
2020,Product Data Analyst,MI,FT,1591390,HN,HN,S,0
2020,Machine Learning Engineer,SE,FT,11935425,US,US,L,50
2020,Data Analyst,EN,FT,5729004,US,US,L,100
2020,Lead Data Scientist,SE,FT,15118205,US,US,S,100
2020,Data Scientist,MI,FT,2843416,HU,HU,L,50
2020,Business Data Analyst,MI,FT,10741883,US,US,L,100
2020,Lead Data Engineer,SE,FT,9946188,NZ,NZ,S,50
2020,Data Scientist,EN,FT,4083586,FR,FR,S,0
2020,Data Scientist,MI,FT,3221053,IN,IN,L,0
2020,Data Scientist,EN,FT,3176096,FR,FR,M,0
2020,Lead Data Analyst,MI,FT,6922547,US,US,L,100
2020,Data Analyst,MI,FT,6763408,US,US,L,100
2020,Data Analyst,MI,FT,636556,PK,PK,L,50
2020,Data Engineer,EN,FT,3317173,JP,JP,S,100
2020,Big Data Engineer,SE,FT,9074663,PL,GB,S,100
2020,Data Science Consultant,EN,FT,454103,IN,IN,M,50
2020,Lead Data Engineer,MI,FT,4455892,PT,US,M,100
2020,Machine Learning Engineer,MI,FT,3447826,CN,CN,M,0
2020,Product Data Analyst,MI,FT,483146,IN,IN,L,100
2020,Data Engineer,SE,FT,3811299,GR,GR,L,50
2020,BI Data Analyst,MI,FT,7797811,US,US,M,0
2020,Lead Data Scientist,MI,FT,9150493,AE,AE,L,0
2020,Director of Data Science,EX,FT,25860088,US,US,L,100
2020,Research Scientist,EN,FT,3341919,NL,NL,L,50
2020,Data Engineer,SE,FT,2666454,MX,MX,S,0
2020,Business Data Analyst,EN,CT,7956950,US,US,L,100
2020,Machine Learning Manager,SE,FT,9317907,CA,CA,L,50
2020,Data Engineering Manager,MI,FT,4718710,DE,DE,S,100
2020,Big Data Engineer,EN,FT,5569865,US,US,L,100
2020,Data Scientist,SE,FT,5444782,GR,US,L,100
2020,Research Scientist,MI,FT,35806275,US,US,M,0
2020,Data Analyst,MI,FT,3720590,FR,FR,L,50
2020,Data Engineer,MI,FT,5898487,AT,AT,L,50
2020,Data Science Consultant,MI,FT,8195659,US,US,L,100
2020,Machine Learning Engineer,EN,FT,19892375,US,US,L,50
2020,Data Analyst,EN,FT,795695,NG,NG,S,100
2020,Machine Learning Engineer,EN,FT,10980591,US,US,S,100
2020,Data Scientist,MI,FT,3641100,PH,US,S,100
2020,Data Engineering Manager,EX,FT,6352272,ES,ES,L,50
2020,Machine Learning Infrastructure Engineer,MI,FT,3992798,PT,PT,M,0
2020,Data Engineer,MI,FT,8434367,US,US,L,100
2020,Data Engineer,MI,FT,8981169,GB,GB,L,50
2020,ML Engineer,EN,PT,1270407,DE,DE,S,100
2020,Data Scientist,MI,FT,6123510,GB,GB,S,100
2020,Data Engineer,SE,FT,14959066,US,US,L,100
2020,Data Scientist,MI,FT,8354798,US,US,L,100
2020,Data Engineer,MI,FT,5580925,FR,FR,L,50
2020,Data Analyst,EN,FT,483146,IN,IN,S,0
2020,Data Analyst,EN,FT,7240825,US,US,L,100
